3.3000E-02 2.0000E+03 1.8400E+05 5.0000E-09 3.7750E+01 2.8237E+02
3.3000E-02 2.0300E+03 1.8400E+05 5.0000E-09 3.7830E+01 2.8555E+02
3.3000E-02 2.0600E+03 1.8400E+05 5.0000E-09 3.7920E+01 2.8958E+02
3.3000E-02 2.1000E+03 1.8400E+05 5.0000E-09 3.8040E+01 2.9417E+02
3.3000E-02 2.1300E+03 1.8400E+05 5.0000E-09 3.8130E+01 2.9754E+02
3.3000E-02 2.1600E+03 1.8400E+05 5.0000E-09 3.8220E+01 3.0029E+02
3.3000E-02 2.1900E+03 1.8400E+05 5.0000E-09 3.8310E+01 3.0370E+02
3.3000E-02 2.2200E+03 1.8400E+05 5.0000E-09 3.8400E+01 3.0660E+02
3.3000E-02 2.2600E+03 1.8400E+05 5.0000E-09 3.8530E+01 3.1011E+02
3.3000E-02 2.2900E+03 1.8400E+05 5.0000E-09 3.8620E+01 3.1272E+02
3.3000E-02 2.3200E+03 1.8400E+05 5.0000E-09 3.8710E+01 3.1473E+02
3.3000E-02 2.3500E+03 1.8400E+05 5.0000E-09 3.8810E+01 3.1650E+02
3.3000E-02 2.3900E+03 1.8400E+05 5.0000E-09 3.8940E+01 3.1946E+02
3.3000E-02 2.4200E+03 1.8400E+05 5.0000E-09 3.9030E+01 3.2117E+02
3.3000E-02 2.4500E+03 1.8400E+05 5.0000E-09 3.9130E+01 3.2314E+02
3.3000E-02 2.4800E+03 1.8400E+05 5.0000E-09 3.9220E+01 3.2484E+02
3.3000E-02 2.5100E+03 1.8400E+05 5.0000E-09 3.9320E+01 3.2657E+02
3.3000E-02 2.5500E+03 1.8400E+05 5.0000E-09 3.9450E+01 3.2889E+02
3.3000E-02 2.5800E+03 1.8400E+05 5.0000E-09 3.9550E+01 3.3016E+02
3.3000E-02 2.6100E+03 1.8400E+05 5.0000E-09 3.9650E+01 3.3139E+02
3.3000E-02 2.6400E+03 1.8400E+05 5.0000E-09 3.9750E+01 3.3285E+02
3.3000E-02 2.6700E+03 1.8400E+05 5.0000E-09 3.9850E+01 3.3377E+02
3.3000E-02 2.7100E+03 1.8400E+05 5.0000E-09 3.9980E+01 3.3525E+02
3.3000E-02 2.7400E+03 1.8400E+05 5.0000E-09 4.0080E+01 3.3602E+02
3.3000E-02 2.7700E+03 1.8400E+05 5.0000E-09 4.0180E+01 3.3703E+02
3.3000E-02 2.8000E+03 1.8400E+05 5.0000E-09 4.0280E+01 3.3765E+02
3.3000E-02 2.8400E+03 1.8400E+05 5.0000E-09 4.0410E+01 3.3829E+02
3.3000E-02 2.8700E+03 1.8400E+05 5.0000E-09 4.0510E+01 3.3807E+02
3.3000E-02 2.9000E+03 1.8400E+05 5.0000E-09 4.0610E+01 3.3779E+02
3.3000E-02 2.9300E+03 1.8400E+05 5.0000E-09 4.0710E+01 3.3844E+02
3.3000E-02 2.9600E+03 1.8400E+05 5.0000E-09 4.0810E+01 3.3840E+02
3.3000E-02 3.0000E+03 1.8400E+05 5.0000E-09 4.0940E+01 3.3790E+02
3.3000E-02 3.0300E+03 1.8400E+05 5.0000E-09 4.1030E+01 3.3719E+02
3.3000E-02 3.0600E+03 1.8400E+05 5.0000E-09 4.1130E+01 3.3693E+02
3.3000E-02 3.0900E+03 1.8400E+05 5.0000E-09 4.1220E+01 3.3604E+02
3.3000E-02 3.1200E+03 1.8400E+05 5.0000E-09 4.1320E+01 3.3515E+02
3.3000E-02 3.1600E+03 1.8400E+05 5.0000E-09 4.1450E+01 3.3432E+02
3.3000E-02 3.1900E+03 1.8400E+05 5.0000E-09 4.1540E+01 3.3340E+02
3.3000E-02 3.2200E+03 1.8400E+05 5.0000E-09 4.1630E+01 3.3255E+02
3.3000E-02 3.2500E+03 1.8400E+05 5.0000E-09 4.1720E+01 3.3130E+02
3.3000E-02 3.2900E+03 1.8400E+05 5.0000E-09 4.1850E+01 3.2989E+02
3.3000E-02 3.3200E+03 1.8400E+05 5.0000E-09 4.1940E+01 3.2849E+02
3.3000E-02 3.3500E+03 1.8400E+05 5.0000E-09 4.2030E+01 3.2738E+02
3.3000E-02 3.3800E+03 1.8400E+05 5.0000E-09 4.2120E+01 3.2578E+02
3.3000E-02 3.4100E+03 1.8400E+05 5.0000E-09 4.2210E+01 3.2490E+02
3.3000E-02 3.4500E+03 1.8400E+05 5.0000E-09 4.2320E+01 3.2316E+02
3.3000E-02 3.4800E+03 1.8400E+05 5.0000E-09 4.2410E+01 3.2149E+02
3.3000E-02 3.5100E+03 1.8400E+05 5.0000E-09 4.2500E+01 3.2021E+02
3.3000E-02 3.5400E+03 1.8400E+05 5.0000E-09 4.2590E+01 3.1929E+02
3.3000E-02 3.5700E+03 1.8400E+05 5.0000E-09 4.2670E+01 3.1801E+02
3.3000E-02 3.6100E+03 1.8400E+05 5.0000E-09 4.2790E+01 3.1603E+02
3.3000E-02 3.6400E+03 1.8400E+05 5.0000E-09 4.2870E+01 3.1471E+02
3.3000E-02 3.6700E+03 1.8400E+05 5.0000E-09 4.2960E+01 3.1389E+02
3.3000E-02 3.7000E+03 1.8400E+05 5.0000E-09 4.3050E+01 3.1250E+02
3.3000E-02 3.7300E+03 1.8400E+05 5.0000E-09 4.3130E+01 3.1123E+02
3.3000E-02 3.7700E+03 1.8400E+05 5.0000E-09 4.3250E+01 3.1013E+02
3.3000E-02 3.8000E+03 1.8400E+05 5.0000E-09 4.3330E+01 3.0946E+02
3.3000E-02 3.8300E+03 1.8400E+05 5.0000E-09 4.3420E+01 3.0815E+02
